comm,slip,pf,sharpe,win_rate,num_trades,total_return_pct,mdd_total_pct,mdd_capital_at_risk_pct
0.0005,0.0005,1.4780125746768205,0.21177539872771814,0.6875,16,0.7549261987027212,1.7392133087586914,23.484897101637802
0.0005,0.001,1.4544866160522314,0.202079723460656,0.6875,16,0.7201376199196252,1.7474776658054303,23.484897101637216
0.0005,0.002,1.4082759932539433,0.18270742862957018,0.6875,16,0.6507456587757865,1.763882495616731,23.484897101637703
0.0005,0.003,1.3631465431072143,0.16337650748081362,0.6875,16,0.5815979113198422,1.7801243962507596,23.484897101637124
0.0005,0.005,1.3036470966711629,0.14310503947226255,0.7333333333333333,15,0.48768630612872066,1.812129935203377,23.48489710163748
0.001,0.0005,1.4581619918109399,0.19593741531455855,0.6875,16,0.6975110813120855,1.7540899924300635,23.484897101637802
0.001,0.001,1.4348709179796997,0.18624254703757745,0.6875,16,0.6627736558650899,1.7623214408487131,23.484897101637216
0.001,0.002,1.3891158438817512,0.1668795575667772,0.6875,16,0.5934832804014301,1.7786610226339317,23.484897101637703
0.001,0.003,1.3444238575815362,0.14756807665680755,0.6875,16,0.524436170995668,1.7948384230754844,23.484897101637124
0.001,0.005,1.28615156453987,0.12704788365659106,0.7333333333333333,15,0.4322967333349581,1.8267171530956583,23.48489710163748
0.002,0.0005,1.4190574329986254,0.1641948435017909,0.6875,16,0.5827680036957217,1.7838383079913256,23.484897101637802
0.002,0.001,1.3962249907941273,0.15451054592198096,0.6875,16,0.548132753249897,1.792003962082389,23.484897101637237
0.002,0.002,1.351359624292304,0.13518400316355653,0.6875,16,0.47904528805655655,1.8082130931581508,23.48489710163767
0.002,0.003,1.3075222906468573,0.11592907849214053,0.6875,16,0.4101991966173335,1.8242615378837534,23.484897101637124
0.002,0.005,1.2515767016880182,0.09497280376084903,0.7333333333333333,15,0.32159874324668714,1.8558867374124266,23.48489710163748
0.005,0.0005,1.306309221879126,0.06874650219969135,0.6875,16,0.23923509890970696,1.873042849728046,23.484897101637802
0.005,0.001,1.2847688207857357,0.05916510312674379,0.6875,16,0.2049053221557351,1.8810113041991872,23.484897101637237
0.005,0.002,1.2424114424660697,0.040088949537480684,0.6875,16,0.13642450312296717,1.8968294457594626,23.48489710163767
0.005,0.003,1.2009852080445305,0.021142548106226976,0.6875,16,0.06817940453107685,1.9124913805633081,23.484897101637124
0.005,0.005,1.1510677737846164,-0.0006168827465815516,0.7333333333333333,15,-0.009846816587266716,1.9433566873602426,23.484897101637493
